what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1365592605196
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1365592605213
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1365592605228
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1365592605244
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1365592605255
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1365592605269
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1365592605280
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1365592605294
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1365592605305
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1365592605305
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1365592605316
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1365592605325
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1365592605333
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1365592605343
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1365592605355
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1365592605370
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1365592605378
os,sysinfo,,,"win32",1365592605385
arch,sysinfo,,,"x86_64",1365592605385
ws,sysinfo,,,"win32",1365592605385
locale,sysinfo,,,"tr_TR",1365592605385
processors,sysinfo,,,"8",1365592605385
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365592605385
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1365592605385
java.specification.name,sysinfo,,,"Java Platform API Specification",1365592605385
java.specification.vendor,sysinfo,,,"Oracle Corporation",1365592605385
java.specification.version,sysinfo,,,"1.7",1365592605385
java.vendor,sysinfo,,,"Oracle Corporation",1365592605385
java.version,sysinfo,,,"1.7.0_15",1365592605385
java.vm.info,sysinfo,,,"mixed mode",1365592605385
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1365592605385
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365592605385
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1365592605385
java.vm.specification.version,sysinfo,,,"1.7",1365592605385
java.vm.vendor,sysinfo,,,"Oracle Corporation",1365592605385
java.vm.version,sysinfo,,,"23.7-b01",1365592605385
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1365592606467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365592606889
